user_id,item_id,behavior_type,user_geohash,user_item_category,time,item_geohash,item_item_category
89583416,288494462,1,9simcq6,12488,2014-11-28 21,,
110601488,152676239,1,9qkgml2,7995,2014-12-01 14,,7995
112382240,239365029,1,99f4m20,12512,2014-11-22 12,,
39841304,233205375,1,,13176,2014-12-17 21,,
46455628,95588446,3,,9130,2014-11-27 04,,
43051852,77818029,1,9qv6rac,11917,2014-12-12 16,,
108043652,69234959,1,,12189,2014-11-19 08,,
61459598,234524438,4,97v02nm,5550,2014-12-16 12,,
7612152,382086420,1,,4640,2014-12-16 10,,
139479952,260649485,1,,5894,2014-12-11 14,,
24474599,81863168,1,,7995,2014-12-13 14,,7995
8443684,196479516,1,,10894,2014-11-18 07,,
4381858,195182675,1,9504moe,4008,2014-12-10 09,,4008
38839327,269997939,1,,508,2014-12-17 10,,
18781926,245619338,1,96s5b0m,1396,2014-11-22 15,,
134928476,277232929,1,,13547,2014-11-30 22,,13547
40310645,201812360,1,,11740,2014-12-03 02,,
62192186,26249548,1,,7957,2014-11-24 00,,
84167844,48231301,1,,3843,2014-11-25 00,,
45966877,350648075,1,95q6qec,13729,2014-12-18 20,,
45966877,55570860,1,95q6qag,6717,2014-12-05 10,,
49784280,145214862,1,,5027,2014-12-01 19,,
30360670,201208788,1,,6513,2014-12-06 01,,
50904788,116639174,1,,2513,2014-12-08 22,,
109059873,20960032,1,,9517,2014-12-07 16,,
79558429,379384303,1,956mc73,446,2014-12-01 10,,
103767458,350087925,1,,296,2014-11-25 10,,
23014965,201779256,1,,10314,2014-12-13 22,,
94767766,398552737,1,,13230,2014-11-30 21,,
57447913,118489349,3,,12368,2014-12-01 09,,
5396057,181519327,1,,6344,2014-11-30 00,,
5396057,301041542,1,,4584,2014-12-05 17,,
20786149,339100974,1,mtj146a,3798,2014-12-14 22,,
81037956,336333128,1,99vsw4p,4247,2014-12-02 10,,
1439794,111991260,1,,4245,2014-12-12 17,,4245
64649517,164579462,4,,1083,2014-11-21 22,,
72802864,254051566,1,,10533,2014-12-06 09,,
31446692,305719854,1,,4370,2014-11-23 09,,
83976914,188676381,1,,5894,2014-11-29 21,,
59131217,47684800,1,,3099,2014-12-09 18,,
130987421,245489790,1,,11985,2014-12-11 01,,
19399879,330565664,1,,5027,2014-12-08 17,,
125411948,140960190,1,9qw91ep,3064,2014-12-08 13,,3064
125411948,44349339,2,,5894,2014-11-20 21,,
25854726,321732906,1,,1421,2014-11-29 01,,
83688949,107792110,1,95rjkro,5749,2014-12-03 13,,
124191041,172621323,1,,5027,2014-12-11 18,,
124191041,222170072,1,,2901,2014-11-21 14,,
6222588,30118553,1,,205,2014-12-06 07,,
79269988,49959278,1,,11693,2014-12-03 10,,
94992306,216922729,1,,5689,2014-12-02 09,,
100690180,365474280,1,,8996,2014-12-03 19,,8996
87475354,211985853,1,99nfcjf,5503,2014-11-27 19,,
88496472,398527300,1,,6344,2014-12-03 08,,
88496472,4632554,1,979phb9,6344,2014-11-18 08,,
115452492,87599054,1,,10392,2014-12-11 23,,
65645933,338452475,1,,552,2014-12-06 07,,
56462249,187294537,3,9rnnf6w,3838,2014-12-09 17,,
65645933,199356819,1,,2825,2014-11-27 04,,
140990654,349441644,1,957u6wc,12855,2014-12-07 21,,
4364079,84081013,1,94e9e1n,12221,2014-11-19 10,,12221
21035609,177749602,1,,12221,2014-11-25 18,,12221
140990654,223957117,1,,11967,2014-12-01 22,,
27508149,4357829,1,9pt9ogk,8874,2014-12-01 15,,
118425520,344964380,1,9rg25m5,8595,2014-12-08 21,,8595
65645933,217145613,1,,5027,2014-12-10 03,,
46598584,143319769,2,,874,2014-12-05 14,,
125577545,385070939,1,,10460,2014-11-20 17,,10460
13081722,24174493,1,,5689,2014-12-07 11,,
73278658,94519711,1,94bqccg,7440,2014-12-04 22,,
54725247,330891560,1,,3964,2014-11-27 09,,
54725247,258294945,1,,8665,2014-12-08 00,,
73196588,160902589,1,,4296,2014-12-06 11,,
53831524,89720692,1,,11279,2014-11-23 16,,
8354126,46767881,1,,8656,2014-12-09 21,,
828731,148739666,1,,2513,2014-12-16 21,,
8213864,321164567,1,,6344,2014-12-10 16,,
101538639,376588506,1,,5232,2014-11-26 20,,
84568949,307225411,1,9552mo3,5395,2014-11-24 07,,
1041761,337896627,1,,5689,2014-11-20 18,,
73196588,323516231,1,94h933s,5894,2014-11-28 11,,
130270245,179272681,1,,7811,2014-12-09 00,,
137175187,170125366,1,,5399,2014-11-23 04,,
97293816,403078595,1,,11623,2014-12-12 18,,
47720492,317080751,1,,7694,2014-11-19 15,,
130270245,234268323,1,95lk21e,1863,2014-12-16 21,,
117502210,93090658,1,946qmps,11406,2014-11-28 21,,11406
121034306,283674583,1,,6648,2014-12-03 18,,6648
130270245,123997855,1,95lk20h,5894,2014-11-20 11,,
137175187,300648322,1,,6327,2014-11-24 22,,
74752035,317359951,1,,1863,2014-11-22 14,,
74752035,250120773,1,95kgjc7,2883,2014-12-13 20,,
130547450,141071314,1,mthvet9,8043,2014-12-10 18,,
141600808,322039,1,,9541,2014-12-15 23,,
112198319,399041360,3,,5232,2014-12-01 20,,
78526913,216172778,1,955u3e9,7995,2014-12-13 18,,7995
125912657,69662347,1,,9413,2014-12-01 22,,
137182431,251159059,1,,4264,2014-11-18 02,,
151617,333206837,1,,13230,2014-11-24 10,,
125912657,94777050,1,,10722,2014-12-05 20,,
101435898,8090239,1,,437,2014-11-27 23,,
101435898,36683036,1,,5678,2014-12-11 00,9h030ho,5678
54206477,362002392,1,,8678,2014-11-29 19,,8678
125912657,44299014,1,,6054,2014-11-24 01,,
35699755,113882543,1,,1863,2014-12-03 14,,
26502265,125940143,1,,7350,2014-11-24 22,,7350
97369087,379740470,1,9rkm4fr,5232,2014-12-03 15,,
4496414,351954600,1,94dkggp,11279,2014-12-12 21,,
78111998,245996189,1,,9569,2014-12-16 12,,9569
9860181,18217037,1,957qq55,3064,2014-12-06 18,,3064
120777483,305302526,1,ffgecu9,5027,2014-12-14 18,,
81732161,57839480,1,,3760,2014-12-01 00,,
72384905,211728202,1,96vktng,10894,2014-12-06 11,,
119373765,52951492,1,,6000,2014-12-10 16,,
88447964,87512470,1,,3673,2014-11-18 23,,
37756852,95288721,1,9rf9jk3,10523,2014-11-21 23,,
67840643,193799754,1,,13547,2014-12-03 21,,13547
72834081,33373711,1,,2825,2014-11-30 20,,
112171699,210626409,1,94h2qk5,6423,2014-11-28 20,,
89428650,265770587,1,,13230,2014-12-03 10,,
69195802,373023553,1,,10894,2014-11-23 13,,
52895098,15183101,1,,12090,2014-12-18 00,,12090
31942750,159123071,1,mtob2ll,6344,2014-12-17 13,,
104683710,244311916,1,99d5lvo,3064,2014-12-12 19,,3064
69195802,12221972,1,,10049,2014-12-07 10,,
47321903,398083785,1,,2993,2014-11-18 09,,
10297132,155232199,1,,7957,2014-12-18 15,,
130739831,387371903,1,,6400,2014-11-28 00,,
132323947,222841350,1,,4537,2014-11-22 21,,
31408686,208375116,1,,7227,2014-12-09 20,,
140643525,88208317,1,,7880,2014-11-24 14,,
33808787,109691887,1,954abkq,9017,2014-12-16 15,,9017
1160607,372043766,1,,2825,2014-12-13 21,,
73574022,339613654,1,,1488,2014-11-21 00,,
47289191,201865543,1,,6512,2014-12-10 05,,
26253026,204913223,1,,7273,2014-11-20 10,,
60366651,114277565,1,974s1mv,10242,2014-11-26 16,,
133240213,40193583,1,,6054,2014-12-02 18,,
5938241,381112305,1,,6513,2014-11-19 01,,
124107376,269516959,1,95bbiit,11552,2014-12-18 15,,
43794910,399858977,1,95uc7l7,5027,2014-12-12 17,,
92892459,42072771,1,,11279,2014-12-01 16,,
82448685,275042734,1,,6513,2014-11-27 10,,
43794910,331548639,1,,7957,2014-11-30 00,,
2588780,188074121,1,946j6hk,3252,2014-11-20 15,,
77374787,253372101,2,,10661,2014-11-23 19,,
88209434,145595428,1,,10869,2014-12-08 19,,10869
77374787,379675871,1,991o6lo,10533,2014-12-08 18,,
25306731,248435445,1,,3381,2014-12-12 14,,
26052997,277439063,1,,5395,2014-11-26 23,,
91638650,254376863,1,,8095,2014-12-10 19,,
117961451,286110175,1,94atrs5,5894,2014-11-23 22,,
122338823,55391794,3,,1863,2014-11-18 21,,
122338823,117418012,1,ffjfnmw,9517,2014-12-11 13,,
117961451,218321220,1,94atrpn,508,2014-12-01 13,,
111961699,208352475,1,956an6o,3783,2014-11-18 18,,
56346664,269784191,1,,10108,2014-11-23 22,,
65352076,362663080,3,9676p2d,9835,2014-12-01 21,,
46133505,378357830,1,94gwrns,11974,2014-12-12 14,,
99103824,362686083,1,ffkvwj5,9516,2014-11-24 19,,
34404169,397670044,1,,3064,2014-12-13 22,,3064
116049086,388024474,1,,10703,2014-11-20 22,,
33371922,97116633,1,,6754,2014-11-28 11,,
67743134,199534014,1,,3660,2014-11-22 17,,3660
110844468,270217260,1,9r7ls97,8431,2014-11-28 12,,8431
98133460,222244170,1,,5894,2014-12-16 21,,
129589867,221080744,1,95lkkmj,6513,2014-12-13 11,,
97795315,247582898,1,950sp47,13230,2014-11-23 17,,
99529968,324524955,1,94a09a2,3064,2014-12-12 10,,3064
137974537,322725981,1,9raamcw,4264,2014-12-15 22,,
98920553,378651376,1,,2825,2014-11-22 16,,
98920553,159202394,2,,6513,2014-12-13 16,,
17503742,285535860,1,,10481,2014-12-17 20,,
31456426,74787155,1,,1843,2014-12-11 01,,
101898979,71801003,1,,2993,2014-11-24 22,,
49421729,67782422,1,96rdtwa,1863,2014-11-24 23,,
128265537,213194780,1,9r7l6ae,7350,2014-12-14 09,,7350
131514258,73187999,1,,5232,2014-12-11 21,,
51429394,347980172,1,,6417,2014-11-30 14,,6417
121148622,30722099,1,94kwiic,5388,2014-12-12 22,,
91731364,307247266,1,,5894,2014-12-15 07,,
24625581,189709626,1,,13393,2014-12-13 13,,
100234220,99776604,1,942n6ih,6648,2014-11-19 17,,6648
32738038,347099775,1,,5271,2014-11-26 14,,
137625581,358319895,1,,11406,2014-12-07 05,,11406
23165095,43268985,1,,9807,2014-11-20 12,,
42653601,350352746,1,95qsbvq,2754,2014-12-17 21,,
23165095,331369024,1,9t4qg4b,7549,2014-12-13 07,,
109005178,274876111,1,,13230,2014-12-04 04,,
109005178,305272932,2,,5399,2014-11-29 03,,
59791208,87915241,1,,5271,2014-12-02 14,,
113078957,48308986,1,,1083,2014-11-27 07,,
121000384,254296248,1,,5271,2014-12-15 02,,
44392514,8887155,1,96kncb2,10753,2014-11-28 15,,
109939909,201389117,1,,5894,2014-11-29 02,,
52525317,151853588,1,,13186,2014-11-23 22,,
21233965,117591930,1,94rlqa9,3431,2014-12-04 13,,
132653097,272074556,1,,10567,2014-12-01 21,,
51880896,10058071,1,97r36gm,874,2014-12-12 14,,
132731360,207710436,1,,9520,2014-11-30 16,,
132731360,265688305,1,,1604,2014-11-30 11,,
22153508,261969621,1,94bbl0l,2226,2014-12-04 21,,
76271403,164272751,1,94mfnd0,2754,2014-12-12 12,,
44193672,200430025,1,9rnq0sk,989,2014-12-12 07,,
80283819,387306424,1,,5503,2014-11-27 07,,
111325865,69628064,1,,4605,2014-12-18 23,,
116223148,8638674,1,,5141,2014-12-01 12,,5141
77524894,307926519,1,,1863,2014-12-02 14,,
17552766,19222565,1,9552w2o,11279,2014-12-17 12,,
71678956,281384102,1,,6054,2014-11-21 17,,
61925056,375953074,1,,1863,2014-11-27 13,,
120962802,279592799,1,,5395,2014-12-05 02,,
139891563,233140924,1,99s4nc4,552,2014-12-09 09,,
120962802,229737051,1,99nf3gd,5395,2014-12-15 23,,
67822184,70494903,1,,7195,2014-12-15 16,,
129011195,121995779,1,,5533,2014-11-24 23,,5533
69626316,291872760,1,,5894,2014-12-15 17,,
135402088,335742574,1,,6513,2014-11-26 16,,
54423533,250011321,1,,8385,2014-11-21 22,,8385
7436994,370473311,1,,769,2014-11-18 22,,
45384478,395983315,1,96pnssr,10901,2014-12-04 13,,
82905542,30641061,1,,10984,2014-12-18 09,,
50010860,216972158,1,,5204,2014-12-05 07,,
25330254,245125995,1,,6573,2014-12-05 02,,
27850931,122571482,1,,3660,2014-12-02 10,,3660
93471096,52036245,1,,728,2014-11-27 18,,
11731068,282678931,1,,10961,2014-12-06 21,,
100366139,150823353,1,,3942,2014-11-30 16,,3942
9863416,273960842,1,,574,2014-12-18 12,,
126010230,102993384,1,,11498,2014-12-12 13,,
108266017,255244959,1,,12510,2014-11-25 15,,
110528286,238418630,1,,8561,2014-12-15 23,,8561
12925543,26635124,1,,7440,2014-11-20 00,,
117301497,312101294,1,,5894,2014-11-22 15,,
120662972,389990957,1,,9384,2014-11-28 21,,
64454947,53845078,1,,5027,2014-12-17 08,,
123848007,309084786,1,,8901,2014-11-30 12,,
27608145,298660745,1,mtoa03o,3472,2014-11-18 09,,
110017091,339516903,1,,552,2014-12-07 11,,
22182160,100791962,1,,3862,2014-12-05 23,,
47428428,348672973,1,,6991,2014-12-07 09,,
82756067,170988067,1,,12147,2014-12-11 01,,
1769128,362255426,1,,9541,2014-11-26 16,,
26622553,98614429,1,97qrdk4,9541,2014-12-09 12,,
88405349,30472883,1,94ipro7,13186,2014-11-24 14,,
30838173,79575901,1,,5027,2014-11-23 23,,
99018543,117439589,1,,675,2014-12-02 00,,
104139699,372998651,1,,8877,2014-11-19 02,,
38478428,145732193,1,,2656,2014-11-24 21,,
28743854,79750204,1,946o6kc,3660,2014-12-16 19,,3660
117026591,250415453,1,,5395,2014-11-28 19,,
71142425,393301758,1,969u3vu,5232,2014-12-01 15,,
117026591,226566395,1,,11508,2014-12-01 20,,
119675939,99181809,1,,12249,2014-12-13 20,,
72605828,139472508,1,94isb50,284,2014-12-03 20,,
59318036,111976405,3,,10223,2014-12-04 10,,
73024133,283714226,1,,12311,2014-12-12 21,,
81901472,364598336,1,,3064,2014-12-03 09,,3064
131293826,110937823,1,,9518,2014-11-23 13,,
87165474,160810341,1,,2226,2014-12-17 00,,
58902373,262242666,1,,6541,2014-12-16 00,,
10303832,272921569,1,,5027,2014-12-11 14,,
113283932,121776942,1,,1121,2014-11-26 22,,
113283932,302212381,1,,1121,2014-11-26 20,,
111957230,373747267,1,,5027,2014-11-18 07,,
111957230,156146096,1,,11241,2014-12-05 21,,
79266183,131037962,1,,7895,2014-12-14 11,,
33303512,388731593,1,,8575,2014-12-11 23,,
122850858,403922306,1,,874,2014-12-15 21,,
29226661,113186327,1,,784,2014-12-13 21,,
33303512,151480634,1,,8956,2014-11-27 17,,
67759870,25736825,1,,9517,2014-12-17 22,,
97666716,244779089,1,95qb3hp,8291,2014-12-06 18,,
74314315,52135004,1,,12685,2014-12-08 20,,
57857118,377274303,1,,1863,2014-11-29 21,,
99900937,169283947,1,95lgfsa,9205,2014-11-27 22,,9205
66831202,173079485,1,,11991,2014-12-14 22,,11991
116520218,261846301,1,,6513,2014-12-10 21,,
116520218,195065436,1,,5232,2014-12-04 21,,
69613205,287165464,1,9rogs91,4370,2014-12-13 16,,
127698085,84326577,1,,8291,2014-11-20 14,,
7234861,20936687,1,9rgqtn4,446,2014-12-10 10,,
110873850,345143539,1,,58,2014-12-08 11,,
118741945,303268068,1,,240,2014-12-11 21,,
82435724,77555144,1,,12170,2014-12-02 00,,12170
15957740,401103496,1,,5399,2014-12-03 17,,
86748372,79950082,1,,4549,2014-12-10 18,,
15957740,259551526,1,,11279,2014-11-23 23,,
42021027,267687989,1,,6247,2014-11-21 19,,6247
135858331,346382049,1,,12685,2014-11-20 00,,
34424883,210659145,1,,13852,2014-11-27 13,,
49546726,365662892,1,,13230,2014-11-22 12,,
101122114,183023005,2,9r774kh,8986,2014-12-13 23,,
7234861,172302793,1,,12685,2014-11-26 12,,
53552500,318952338,1,,5271,2014-11-18 14,,
23316310,268676541,1,94i0w0k,10686,2014-11-26 10,,
21332019,268349571,1,,14079,2014-12-13 01,,
34424883,5226696,1,,7957,2014-12-01 15,,
140662618,207185304,1,,5749,2014-12-17 22,,
21329952,211242479,1,,4008,2014-11-21 15,,4008
27141122,83647336,1,943jwh4,10533,2014-11-27 22,,
95301715,191631547,1,,4269,2014-12-12 22,,
33829137,332929059,1,,12067,2014-11-28 16,,12067
128519725,251932261,1,,508,2014-12-09 09,,
44059193,362905690,1,,7582,2014-12-01 05,,
84281743,176962202,1,94lro6s,1863,2014-12-06 13,,
63052028,350986071,1,,8723,2014-11-28 22,,
30353552,136685945,2,,13038,2014-12-11 13,,
119627646,318515601,4,,5232,2014-11-25 15,,
139885879,94002468,1,95f76ol,5351,2014-12-18 22,,5351
114790451,284956652,1,,1083,2014-12-09 22,,
94723090,74955917,1,,13500,2014-12-17 19,,13500
125070791,194530099,1,,8886,2014-11-21 22,,
130766413,347585156,1,,2825,2014-11-18 17,,
13161427,387375255,1,,13428,2014-12-18 22,,
19282406,396314368,1,94dstwp,11047,2014-12-08 21,,
27927595,22777778,1,,5399,2014-11-26 12,,
48890303,202244379,1,,10431,2014-12-15 13,,10431
19282406,178615451,1,94dstw1,13152,2014-12-03 21,,
36233277,43938028,1,94ek6at,3368,2014-11-30 23,,3368
67185042,235823306,1,,7312,2014-12-17 13,,
24262504,275117836,1,,1863,2014-12-11 04,,
56676769,132867701,1,950sp19,3537,2014-12-09 20,,3537
36233277,311764358,1,94ek6ka,13230,2014-12-02 07,,
42024448,377748064,3,,10223,2014-11-18 17,,
36233277,141169735,1,94ek6k2,1083,2014-11-24 13,,
36233277,233224833,1,94ek6lw,1083,2014-11-23 16,,
48677702,240042007,1,94gnqek,1863,2014-12-13 21,,
50553250,55155040,1,,6054,2014-12-06 14,,
90853436,287263931,1,,10703,2014-11-18 15,,
72442904,195939201,1,9rnamuv,5399,2014-12-16 20,,
36233277,127738265,1,94ek6at,12345,2014-11-26 21,,
117044327,352053595,1,944bdr5,13230,2014-11-24 19,,
80954170,244669666,1,99ctj55,12230,2014-11-23 23,,
8915107,196293626,1,,3783,2014-12-13 18,,
129377104,16667243,1,,1308,2014-12-16 20,,
112711623,262842659,2,94h7iv0,11552,2014-12-12 22,,
83080518,244820042,1,,1114,2014-12-11 00,,
56735134,330761477,1,,6054,2014-12-01 13,,
129377104,267528499,1,95q02oi,11270,2014-12-18 09,,
111820958,200170451,1,,2825,2014-11-30 01,,
11313328,371061971,1,,2953,2014-12-14 20,,
98440358,41730101,1,,905,2014-12-10 21,,
98440358,195977106,1,,3381,2014-11-30 12,,
24658436,390757625,1,,12761,2014-11-19 22,,12761
102930156,110139982,1,,10726,2014-11-21 00,,
73138544,64824096,1,,3662,2014-11-22 06,,
39395202,369478426,1,,10725,2014-11-26 09,,
89736791,175229700,1,,11279,2014-12-18 02,,
14447131,306023688,1,,5908,2014-12-05 14,,
43864538,183558027,1,,4195,2014-12-17 19,,
29710830,23565669,1,,9179,2014-12-07 11,,
29710830,36220528,1,9pts1iq,9491,2014-11-22 13,,
99960313,101163919,1,9rdm2fc,3475,2014-12-11 07,,
137998405,5357021,1,95f6vwl,5689,2014-12-15 21,,
92726270,210290989,1,,887,2014-11-27 14,,887
53751383,399984145,1,9rfj5cq,6513,2014-12-12 13,,
22560823,282802138,1,,7995,2014-11-29 23,,7995
120992701,144774936,1,,6000,2014-11-26 21,,
86723144,310575438,1,,6054,2014-12-08 02,,
66566059,40457042,1,95q4o2u,7876,2014-12-02 15,,7876
97778243,316789490,1,955j420,2568,2014-11-22 23,,2568
100833741,58754771,1,9reegfb,10431,2014-12-10 23,,10431
17341591,340000621,1,,6255,2014-11-23 08,,
110754991,125366812,1,,5027,2014-11-22 10,,
11162300,90781233,1,,3673,2014-12-06 22,,
97730927,370665745,1,96k6le3,2907,2014-12-14 18,,
105105740,253941133,1,,4625,2014-12-02 13,,
127712668,251454302,1,9623g3b,9247,2014-12-17 17,,
118330286,398954020,1,94kl50o,1385,2014-12-10 21,,
28826774,48968010,1,95jde22,126,2014-12-07 23,,
74750292,395770136,1,,11279,2014-12-08 22,,
73218701,26777486,1,,2378,2014-12-14 14,,
7761295,59827174,1,,3472,2014-11-20 03,,
7761295,227882377,1,,5027,2014-11-19 05,,
22278371,55537715,1,,10507,2014-12-08 00,,
87098913,95417159,1,,2993,2014-11-26 00,,
97951451,351072868,1,,4370,2014-11-30 09,,
19853816,168524307,1,,13500,2014-12-05 00,,13500
100632766,177366621,2,,3798,2014-11-30 22,,
37054928,240307818,1,,10250,2014-12-13 06,,
59746563,39880144,1,,4296,2014-12-10 23,,
52577851,145400293,1,,5894,2014-12-03 00,,
122003638,163577732,1,,8666,2014-12-18 21,,
87298447,154341085,1,,12488,2014-12-06 09,,
116763688,180345532,1,,3660,2014-12-18 01,,3660
68961612,61550568,4,,9829,2014-12-10 20,,9829
59540963,195676574,1,94mbbcw,5894,2014-12-09 10,,
1652366,175317373,1,,1843,2014-11-18 23,,
101061002,246504816,2,,4830,2014-12-13 03,,4830
24289312,72985612,1,,4627,2014-12-09 18,,4627
131930045,113356894,1,,10029,2014-11-24 20,,
84208789,310009522,1,,4116,2014-11-20 22,,
104569658,281347193,1,99chhd5,5399,2014-12-02 21,,
92174499,312053180,1,950fc7d,1843,2014-12-02 18,,
49841922,144512254,1,95qq5n1,4627,2014-12-10 17,,4627
36513563,382615228,1,,1361,2014-12-10 09,,
91552951,185583821,1,,12638,2014-11-27 08,,
107475844,329492607,1,,94,2014-11-25 22,,94
116232438,29272334,1,,3064,2014-11-20 19,,3064
81756097,289721383,1,,1550,2014-11-18 05,,1550
119687214,218826110,1,,5017,2014-11-23 09,,
111073682,66917388,1,,1083,2014-12-07 00,,
429994,345986799,1,,1863,2014-12-12 21,,
6504113,54064706,1,94vcagu,11241,2014-11-30 16,,
127168253,154429934,1,95q0wsg,6513,2014-11-24 13,,
50834210,384574839,1,,8874,2014-12-16 18,,
14444168,33892781,1,,1963,2014-11-25 18,,1963
59511789,165546470,1,,10271,2014-12-10 23,,
99775965,122642720,1,,12855,2014-12-17 22,,
59511789,76106081,1,,5732,2014-12-02 15,,
131538712,403658199,1,,1863,2014-12-15 23,,
4195964,192977486,1,,1238,2014-11-23 14,,
138977388,96205202,1,,5271,2014-12-02 16,,
46344003,41171809,1,9riuh0m,12488,2014-11-19 12,,
133378051,341065917,1,,8877,2014-12-09 16,,
7646195,37241656,1,,13230,2014-11-18 15,,
814199,282525522,1,,13096,2014-12-15 00,,
132233475,372412942,1,,10392,2014-12-09 21,,
63973702,329905085,1,,4676,2014-12-02 21,,
85031011,74019395,1,,5399,2014-12-04 15,,
78537035,334040224,1,,7572,2014-11-29 19,,7572
38855741,197931715,1,,5894,2014-12-14 19,,
110849747,61190649,1,,6194,2014-11-23 18,,
110849747,401578939,1,970iv3e,11256,2014-12-07 17,,
9367616,268122643,1,,1741,2014-11-30 00,,
12210870,399769906,1,,11687,2014-12-01 22,,
90035027,88630565,1,,2883,2014-12-03 21,,
5424550,30697039,1,,10258,2014-12-04 23,,
54658244,258325589,1,,4584,2014-12-02 19,,
41268198,327918606,1,,9101,2014-12-04 23,,
108903107,43524130,1,9reonen,10894,2014-11-18 18,,
122462305,52707028,1,,2513,2014-12-08 03,,
20472131,111169047,1,,2825,2014-11-18 19,,
131344898,26562298,1,95q01cc,13041,2014-12-18 13,,
20754693,189552626,3,,7606,2014-12-04 22,,
74339956,200026924,1,99ct2e7,10392,2014-11-22 11,,
86012881,125736959,1,,11883,2014-12-02 10,,
15541192,308856053,1,95riji5,13230,2014-12-06 20,,
137850156,243205106,1,,3381,2014-11-22 19,,
15541192,92298456,3,,989,2014-11-20 22,,
135955934,244696280,1,9rre2qb,11618,2014-12-12 21,,
104164603,94613235,1,94m2an1,6977,2014-11-23 14,,
123035338,248540337,1,,6054,2014-12-16 21,,
63001216,320455272,1,,5449,2014-12-13 13,,
107452984,95867699,1,,10412,2014-12-05 14,,10412
12163667,285631124,1,,5894,2014-11-29 16,,
63339028,351116884,1,,3783,2014-11-23 21,,
36764652,22417783,1,9suu9kh,12277,2014-12-17 20,,
105923210,201265046,1,99ctg2k,4625,2014-12-02 20,,
138867561,275607395,1,,5027,2014-11-27 15,,
109327598,119681523,1,,10894,2014-12-03 18,,
40586226,65269037,1,,1863,2014-12-11 12,,
140535667,81482710,1,,6513,2014-12-15 21,,
100067745,18883184,1,95w3d6k,2831,2014-11-27 14,,
6435793,26576018,1,,198,2014-12-12 00,,198
132203647,80672595,1,,6054,2014-11-25 11,,
76292653,296018285,1,95wjdsd,4455,2014-12-12 22,,
105278727,34384544,1,,13230,2014-11-23 13,,
3694961,78195941,1,9rf9596,13114,2014-11-30 22,,
105278727,322154420,1,,2825,2014-11-29 13,,
59473714,85444528,2,,215,2014-11-28 21,,
11427000,70978358,1,,10135,2014-11-22 06,,
122990070,355682743,1,,11856,2014-12-10 13,,
27399563,21419652,1,9pt26en,7917,2014-12-18 11,,
33682194,286665210,1,95wjmfq,9762,2014-12-09 23,,
12906922,42685143,1,,10223,2014-12-16 16,,
47065920,64327905,1,,6991,2014-11-22 00,,
